index,participante,tipo,cohorte
TCGA-A7-A0CE-01A-11R-A00Z-07,TCGA-A7-A0CE,tumor,BRCA
TCGA-A7-A0CH-01A-21R-A00Z-07,TCGA-A7-A0CH,tumor,BRCA
TCGA-A7-A0D9-01A-31R-A056-07,TCGA-A7-A0D9,tumor,BRCA
TCGA-A7-A0DB-01A-11R-A00Z-07,TCGA-A7-A0DB,tumor,BRCA
TCGA-A7-A13E-01A-11R-A12P-07,TCGA-A7-A13E,tumor,BRCA
TCGA-A7-A13F-01A-11R-A12P-07,TCGA-A7-A13F,tumor,BRCA
TCGA-A7-A13G-01A-11R-A13Q-07,TCGA-A7-A13G,tumor,BRCA
TCGA-AC-A23H-01A-11R-A157-07,TCGA-AC-A23H,tumor,BRCA
TCGA-AC-A2FB-01A-11R-A17B-07,TCGA-AC-A2FB,tumor,BRCA
TCGA-AC-A2FF-01A-11R-A17B-07,TCGA-AC-A2FF,tumor,BRCA
TCGA-AC-A2FM-01A-11R-A19W-07,TCGA-AC-A2FM,tumor,BRCA
TCGA-BH-A0AU-01A-11R-A12P-07,TCGA-BH-A0AU,tumor,BRCA
TCGA-BH-A0AY-01A-21R-A00Z-07,TCGA-BH-A0AY,tumor,BRCA
TCGA-BH-A0AZ-01A-21R-A12P-07,TCGA-BH-A0AZ,tumor,BRCA
TCGA-BH-A0B3-01A-11R-A056-07,TCGA-BH-A0B3,tumor,BRCA
TCGA-BH-A0B5-01A-11R-A12P-07,TCGA-BH-A0B5,tumor,BRCA
TCGA-BH-A0B7-01A-12R-A115-07,TCGA-BH-A0B7,tumor,BRCA
TCGA-BH-A0B8-01A-21R-A056-07,TCGA-BH-A0B8,tumor,BRCA
TCGA-BH-A0BA-01A-11R-A056-07,TCGA-BH-A0BA,tumor,BRCA
TCGA-BH-A0BC-01A-22R-A084-07,TCGA-BH-A0BC,tumor,BRCA
TCGA-BH-A0BJ-01A-11R-A056-07,TCGA-BH-A0BJ,tumor,BRCA
TCGA-BH-A0BM-01A-11R-A056-07,TCGA-BH-A0BM,tumor,BRCA
TCGA-BH-A0BQ-01A-21R-A115-07,TCGA-BH-A0BQ,tumor,BRCA
TCGA-BH-A0BS-01A-11R-A12P-07,TCGA-BH-A0BS,tumor,BRCA
TCGA-BH-A0BT-01A-11R-A12P-07,TCGA-BH-A0BT,tumor,BRCA
