gene,coeficiente,clase_asociada
FLJ37543,-0.1024740506289267,NORMAL
LOC285796,-0.0934722820266242,NORMAL
C13orf36,-0.09175748543692934,NORMAL
PPIAL4C,0.08965971134252261,TUMOR
HELT,-0.08650194952388897,NORMAL
OVCH2,-0.07959051510411252,NORMAL
GABRD,0.07957834064549552,TUMOR
CES4,-0.07862178220032552,NORMAL
ATP12A,-0.07634951386134518,NORMAL
SNORA39,0.07462005747713732,TUMOR
SLCO1A2,-0.07178388340560321,NORMAL
NIPSNAP3A,-0.07102437041438193,NORMAL
C17orf88,-0.0695599988687861,NORMAL
BGN,0.06771599808217778,TUMOR
COMP,0.06761362613839889,TUMOR
PTCHD3,-0.06729521708731039,NORMAL
RTN4RL2,0.06672462623832498,TUMOR
CAMK2N2,0.06615346313297342,TUMOR
LOC400696,0.0646127755116574,TUMOR
VGLL1,-0.06380685273195887,NORMAL
WISP1,0.06281520388810792,TUMOR
MMP27,-0.062416026175345383,NORMAL
AKAP3,0.06230709688647597,TUMOR
ARRDC4,-0.06223341529745348,NORMAL
C1orf182,0.06093038817022838,TUMOR
