gene,importancia_global,clase_mas_asociada
SFTPB,0.14008508892365173,LUAD
NKX2-1,0.13385355472195143,LUAD
SFTPA1,0.13375441493973897,LUAD
SFTA3,0.13232014590555047,LUAD
MMP3,0.13119934225230245,BRCA
CDKL2,0.1289723699899289,LUAD
SFTPC,0.12614557655419062,LUAD
SCGB3A2,0.1256371103302033,LUAD
SFTPA2,0.12533717887442206,LUAD
NAPSA,0.1200906587095663,LUAD
TCF21,0.11929077426944433,BRCA
ROS1,0.11861364560963507,LUAD
C8orf85,0.11664380234192197,BRCA
SFTPD,0.11445772080846592,LUAD
SCGB1A1,0.11071348284291802,LUAD
FOXA2,0.10976110966341796,BRCA
TBX3,0.10965557361474171,LUAD
SFTA2,0.10816746732800071,LUAD
SPOCK3,0.10761929042721041,BRCA
SCGB2A2,0.10640567358363616,BRCA
FAM83A,0.10536299276427384,LUAD
PRLR,0.10424916528206582,BRCA
ST6GALNAC1,0.10414815057423854,LUAD
C20orf56,0.10400501900378975,BRCA
SLC4A4,0.10348791626899859,BRCA
