PC1,PC2,PC3,cohorte,tipo,grupo
-44.35514,4.483319,-49.732765,BRCA,tumor,tumor_BRCA
-64.62393,-35.904766,-59.374397,BRCA,tumor,tumor_BRCA
-52.489277,-26.080923,-40.727646,BRCA,tumor,tumor_BRCA
-49.502037,-47.586483,-61.822315,BRCA,tumor,tumor_BRCA
-57.91072,24.395119,-43.52535,BRCA,tumor,tumor_BRCA
-60.707016,-5.274442,-62.445534,BRCA,tumor,tumor_BRCA
-64.32227,-40.56853,-53.082256,BRCA,tumor,tumor_BRCA
-70.72442,12.860978,-54.247208,BRCA,tumor,tumor_BRCA
-26.214682,-45.490948,-74.34319,BRCA,tumor,tumor_BRCA
-14.406774,-65.49113,-69.54234,BRCA,tumor,tumor_BRCA
-61.283188,-29.084368,-36.245426,BRCA,tumor,tumor_BRCA
-51.08871,-27.30669,-65.484085,BRCA,tumor,tumor_BRCA
-40.891014,-13.83659,-67.306526,BRCA,tumor,tumor_BRCA
-31.754269,-44.6231,-73.52486,BRCA,tumor,tumor_BRCA
-47.735367,28.66065,-66.422325,BRCA,tumor,tumor_BRCA
-51.576424,-29.240532,-78.37809,BRCA,tumor,tumor_BRCA
-34.730247,-22.25013,-69.784966,BRCA,tumor,tumor_BRCA
-61.673786,-23.174583,-44.947323,BRCA,tumor,tumor_BRCA
-46.176994,-46.798477,-53.069065,BRCA,tumor,tumor_BRCA
-43.82436,-24.471975,-67.87393,BRCA,tumor,tumor_BRCA
-42.38521,-43.413635,-66.4546,BRCA,tumor,tumor_BRCA
-43.437145,-64.445274,-43.45568,BRCA,tumor,tumor_BRCA
-47.73105,-35.067608,-68.78205,BRCA,tumor,tumor_BRCA
-59.427135,-26.503216,-49.542374,BRCA,tumor,tumor_BRCA
-65.94305,-15.974242,-52.57687,BRCA,tumor,tumor_BRCA
-51.22789,-9.574499,-65.69832,BRCA,tumor,tumor_BRCA
-23.234074,21.473928,-69.17013,BRCA,tumor,tumor_BRCA
-54.71016,15.409313,-69.92492,BRCA,tumor,tumor_BRCA
-54.576687,29.307577,-68.038086,BRCA,tumor,tumor_BRCA
-16.766043,-36.104984,-69.36247,BRCA,tumor,tumor_BRCA
-64.40166,-2.3208802,-63.1587,BRCA,tumor,tumor_BRCA
-47.472908,-29.01984,-70.64208,BRCA,tumor,tumor_BRCA
-60.797897,-17.67565,-57.950512,BRCA,tumor,tumor_BRCA
-37.737637,-16.092182,-67.74015,BRCA,tumor,tumor_BRCA
-49.85034,43.46471,-65.66607,BRCA,tumor,tumor_BRCA
-49.341263,-62.656948,-48.941242,BRCA,tumor,tumor_BRCA
-42.904213,-47.2598,-72.095184,BRCA,tumor,tumor_BRCA
-39.16183,-36.95681,-70.55891,BRCA,tumor,tumor_BRCA
-43.399666,-42.383244,-73.96469,BRCA,tumor,tumor_BRCA
-21.586447,-65.6699,-61.7863,BRCA,tumor,tumor_BRCA
-58.27705,11.599591,-59.011433,BRCA,tumor,tumor_BRCA
-64.43838,22.722235,-36.27166,BRCA,tumor,tumor_BRCA
-63.47812,-24.223246,-47.88479,BRCA,tumor,tumor_BRCA
-25.801893,-29.08415,-75.15837,BRCA,tumor,tumor_BRCA
-63.06959,-13.747613,-58.871635,BRCA,tumor,tumor_BRCA
-63.506523,-17.199802,-53.26741,BRCA,tumor,tumor_BRCA
-46.925537,-29.995855,-61.43492,BRCA,tumor,tumor_BRCA
-41.916924,-14.23319,-42.367256,BRCA,tumor,tumor_BRCA
-59.052414,-10.733733,-60.297607,BRCA,tumor,tumor_BRCA
-61.577602,-23.706188,-61.39092,BRCA,tumor,tumor_BRCA
-63.814987,6.3793616,-45.05427,BRCA,tumor,tumor_BRCA
-38.922134,-49.20471,-72.47414,BRCA,tumor,tumor_BRCA
-43.999996,-30.880568,-47.719376,BRCA,tumor,tumor_BRCA
-58.176456,-9.8253565,-63.438534,BRCA,tumor,tumor_BRCA
-38.17991,-25.696636,-57.824245,BRCA,tumor,tumor_BRCA
-59.64543,-11.123639,-52.66676,BRCA,tumor,tumor_BRCA
-58.303604,-28.831276,-45.687614,BRCA,tumor,tumor_BRCA
-61.217293,3.792411,-74.79143,BRCA,tumor,tumor_BRCA
-41.41423,30.32325,-68.28063,BRCA,tumor,tumor_BRCA
