gene_id,gene_symbol,chr,gene_length
gene_0,100130426,,
gene_1,100133144,chr15,2420
gene_2,100134869,chr15,3190
gene_3,10357,,
gene_4,10431,,
gene_5,136542,,
gene_6,155060,chr7,4756
gene_7,26823,,
gene_8,280660,chrX,580
gene_9,317712,,
gene_10,340602,,
gene_11,388795,,
gene_12,390284,,
gene_13,391343,,
gene_14,391714,,
gene_15,404770,,
gene_16,441362,,
gene_17,442388,,
gene_18,553137,,
gene_19,57714,,
gene_20,645851,,
gene_21,652919,,
gene_22,653553,,
gene_23,728045,,
gene_24,728603,,
gene_25,728788,,
gene_26,729884,,
gene_27,8225,chrX,4434
gene_28,90288,chr3,2154
gene_29,A1BG,chr19,4309
gene_30,A1CF,chr10,9880
gene_31,A2BP1,chr16,8875
gene_32,A2LD1,chr13,2903
gene_33,A2ML1,chr12,6309
gene_34,A2M,chr12,4653
gene_35,A4GALT,chr22,2606
gene_36,A4GNT,chr3,1771
gene_37,AAA1,chr7,7248
gene_38,AAAS,chr12,1837
gene_39,AACSL,chr5,3018
gene_40,AACS,chr12,4560
gene_41,AADACL2,chr3,1500
gene_42,AADACL3,chr1,4049
gene_43,AADACL4,chr1,1575
gene_44,AADAC,chr3,1606
gene_45,AADAT,chr4,2642
gene_46,AAGAB,chr15,3584
gene_47,AAK1,chr2,22077
gene_48,AAMP,chr2,1949
gene_49,AANAT,chr17,2304
gene_50,AARS2,chr6,4782
gene_51,AARSD1,chr17,1798
gene_52,AARS,chr16,3695
gene_53,AASDHPPT,chr11,2990
gene_54,AASDH,chr4,7532
gene_55,AASS,chr7,6399
gene_56,AATF,chr17,2141
gene_57,AATK,chr17,6893
gene_58,ABAT,chr16,5930
gene_59,ABCA10,chr17,7146
gene_60,ABCA11P,chr4,3515
gene_61,ABCA12,chr2,9446
gene_62,ABCA13,chr7,22448
gene_63,ABCA17P,chr16,5442
gene_64,ABCA1,chr9,10865
gene_65,ABCA2,chr9,11734
gene_66,ABCA3,chr16,7542
gene_67,ABCA4,chr1,8728
gene_68,ABCA5,chr17,10130
gene_69,ABCA6,chr17,6323
gene_70,ABCA7,chr19,7644
gene_71,ABCA8,chr17,7442
gene_72,ABCA9,chr17,7101
gene_73,ABCB10,chr1,3857
gene_74,ABCB11,chr2,5437
gene_75,ABCB1,chr7,4893
gene_76,ABCB4,chr7,4935
gene_77,ABCB5,chr7,9337
gene_78,ABCB6,chr2,4480
gene_79,ABCB7,chrX,2606
gene_80,ABCB8,chr7,6303
gene_81,ABCB9,chr12,6591
gene_82,ABCC10,chr6,8696
gene_83,ABCC11,chr16,5155
gene_84,ABCC12,chr16,7325
gene_85,ABCC13,chr21,5397
gene_86,ABCC1,chr16,7063
gene_87,ABCC2,chr10,5051
gene_88,ABCC3,chr17,6541
gene_89,ABCC4,chr13,6518
gene_90,ABCC5,chr3,12438
gene_91,ABCC6P1,chr16,2840
gene_92,ABCC6P2,chr16,706
gene_93,ABCC6,chr16,5981
gene_94,ABCC8,chr11,5530
gene_95,ABCC9,chr12,12318
gene_96,ABCD1,chrX,3664
gene_97,ABCD2,chr12,5341
gene_98,ABCD3,chr1,5616
gene_99,ABCD4,chr14,3649
gene_100,ABCE1,chr4,4531
gene_101,ABCF1,chr6,3594
gene_102,ABCF2,chr7,4308
gene_103,ABCF3,chr3,2790
gene_104,ABCG1,chr21,4972
gene_105,ABCG2,chr4,5501
gene_106,ABCG4,chr11,3935
gene_107,ABCG5,chr2,4256
gene_108,ABCG8,chr2,2746
gene_109,ABHD10,chr3,2806
gene_110,ABHD11,chr7,2000
gene_111,ABHD12B,chr14,1708
gene_112,ABHD12,chr20,2411
gene_113,ABHD13,chr13,5302
gene_114,ABHD14A,chr3,1857
gene_115,ABHD14B,chr3,4256
gene_116,ABHD15,chr17,3355
gene_117,ABHD1,chr2,1636
gene_118,ABHD2,chr15,9226
gene_119,ABHD3,chr18,4191
gene_120,ABHD4,chr14,3456
gene_121,ABHD5,chr3,5353
gene_122,ABHD6,chr3,2458
gene_123,ABHD8,chr19,2090
gene_124,ABI1,chr10,3950
gene_125,ABI2,chr2,7443
gene_126,ABI3BP,chr3,10067
gene_127,ABI3,chr17,2259
gene_128,ABL1,chr9,5963
gene_129,ABL2,chr1,23124
gene_130,ABLIM1,chr10,9830
gene_131,ABLIM2,chr4,6240
gene_132,ABLIM3,chr5,5802
gene_133,ABO,chr9,1842
gene_134,ABP1,chr7,6828
gene_135,ABRA,chr8,2754
gene_136,ABR,chr17,8155
gene_137,ABT1,chr6,2263
gene_138,ABTB1,chr3,2387
gene_139,ABTB2,chr11,4903
gene_140,ACAA1,chr3,1819
gene_141,ACAA2,chr18,1934
gene_142,ACACA,chr17,11969
gene_143,ACACB,chr12,9535
gene_144,ACAD10,chr12,5977
gene_145,ACAD11,chr3,3556
gene_146,ACAD8,chr11,5287
gene_147,ACAD9,chr3,4322
gene_148,ACADL,chr2,3118
gene_149,ACADM,chr1,3764
gene_150,ACADSB,chr10,6030
gene_151,ACADS,chr12,2057
gene_152,ACADVL,chr17,4097
gene_153,ACAN,chr15,15435
gene_154,ACAP1,chr17,2508
gene_155,ACAP2,chr3,8231
gene_156,ACAP3,chr1,7322
gene_157,ACAT1,chr11,4505
gene_158,ACAT2,chr6,2839
gene_159,ACBD3,chr1,3565
gene_160,ACBD4,chr17,4106
gene_161,ACBD5,chr10,4908
gene_162,ACBD6,chr1,1616
gene_163,ACBD7,chr10,4189
gene_164,ACCN1,chr17,4271
gene_165,ACCN2,chr12,5306
gene_166,ACCN3,chr7,2497
gene_167,ACCN4,chr2,7784
gene_168,ACCN5,chr4,1692
gene_169,ACCSL,chr11,1927
gene_170,ACCS,chr11,4979
gene_171,ACD,chr16,4063
gene_172,ACE2,chrX,3861
gene_173,ACER1,chr19,1088
gene_174,ACER2,chr9,4093
gene_175,ACER3,chr11,5259
gene_176,ACE,chr17,11114
gene_177,ACHE,chr7,6237
gene_178,ACIN1,chr14,7163
